first_party_name,first_party,device,third_party,third_party_name,Tracking/Other,Category,consent,subscription
Claude,"anthropic.com, claude.ai",browser,api-iam.intercom.io,Intercom,Tracking,Authentication,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,b-0.hexagon-cdn.com,Sift,Tracking,Anti-fraud,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,b-0.hexagon-cdn.com,Sift,Tracking,Anti-fraud,Accept All,Premium
Claude,"anthropic.com, claude.ai",browser,browser-intake-us5-datadoghq.com,Datadog,Tracking,,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,browser-intake-us5-datadoghq.com,Datadog,Tracking,,Accept All,Premium
Claude,"anthropic.com, claude.ai",browser,connect.facebook.net,Meta,Tracking,Analytics and Advertising,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,connect.facebook.net,Meta,Tracking,Analytics and Advertising,Accept All,Premium
Claude,"anthropic.com, claude.ai",browser,d8f2pm4haz8u1.cloudfront.net,First-party,Claude/CDN,,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,d8f2pm4haz8u1.cloudfront.net,First-party,Claude/CDN,,Accept All,Premium
Claude,"anthropic.com, claude.ai",browser,fonts.gstatic.com,Google API,,,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,fonts.gstatic.com,Google API,,,Accept All,Premium
Claude,"anthropic.com, claude.ai",browser,js.intercomcdn.com,Intercom,Tracking,Authentication,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,nexus-websocket-a.intercom.io,Intercom,Tracking,Authentication,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Accept All,Premium
Claude,"anthropic.com, claude.ai",browser,play.google.com,Other,,,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,widget.intercom.io,Intercom,Tracking,Customer Support,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Accept All,Premium
Claude,"anthropic.com, claude.ai",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Accept All,Premium
Claude,"anthropic.com, claude.ai",browser,www.googletagmanager.com,Google Tag Manager,Tracking,Analytics and Advertising,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,www.googletagmanager.com,Google Tag Manager,Tracking,Analytics and Advertising,Accept All,Premium
Claude,"anthropic.com, claude.ai",browser,www.gstatic.com,Google Cloud,,,Accept All,Free
Claude,"anthropic.com, claude.ai",browser,www.gstatic.com,Google Cloud,,,Accept All,Premium
Claude,"anthropic.com, claude.ai",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Ignore Consent,Free
Claude,"anthropic.com, claude.ai",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Ignore Consent,Premium
Claude,"anthropic.com, claude.ai",browser,b-0.hexagon-cdn.com,Sift,Tracking,Anti-fraud,Ignore Consent,Free
Claude,"anthropic.com, claude.ai",browser,b-0.hexagon-cdn.com,Sift,Tracking,Anti-fraud,Ignore Consent,Premium
Claude,"anthropic.com, claude.ai",browser,d8f2pm4haz8u1.cloudfront.net,First-party,Claude/CDN,,Ignore Consent,Free
Claude,"anthropic.com, claude.ai",browser,d8f2pm4haz8u1.cloudfront.net,First-party,Claude/CDN,,Ignore Consent,Premium
Claude,"anthropic.com, claude.ai",browser,fonts.gstatic.com,Google API,,,Ignore Consent,Free
Claude,"anthropic.com, claude.ai",browser,fonts.gstatic.com,Google API,,,Ignore Consent,Premium
Claude,"anthropic.com, claude.ai",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Ignore Consent,Free
Claude,"anthropic.com, claude.ai",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Ignore Consent,Premium
Claude,"anthropic.com, claude.ai",browser,play.google.com,Other,,,Ignore Consent,Premium
Claude,"anthropic.com, claude.ai",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Ignore Consent,Free
Claude,"anthropic.com, claude.ai",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Ignore Consent,Premium
Claude,"anthropic.com, claude.ai",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Ignore Consent,Free
Claude,"anthropic.com, claude.ai",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Ignore Consent,Premium
Claude,"anthropic.com, claude.ai",browser,www.googletagmanager.com,Google Tag Manager,Tracking,Analytics and Advertising,Ignore Consent,Free
Claude,"anthropic.com, claude.ai",browser,www.googletagmanager.com,Google Tag Manager,Tracking,Analytics and Advertising,Ignore Consent,Premium
Claude,"anthropic.com, claude.ai",browser,www.gstatic.com,Google Cloud,,,Ignore Consent,Free
Claude,"anthropic.com, claude.ai",browser,www.gstatic.com,Google Cloud,,,Ignore Consent,Premium
Claude,"anthropic.com, claude.ai",mobile,api.segment.io,Twilio Segment,Tracking,Analytics and Advertising,No consent banner,Free
Claude,"anthropic.com, claude.ai",mobile,api.segment.io,Twilio Segment,Tracking,Analytics and Advertising,No consent banner,Free
Claude,"anthropic.com, claude.ai",mobile,api.segment.io,Twilio Segment,Tracking,Analytics and Advertising,No consent banner,Premium
Claude,"anthropic.com, claude.ai",mobile,api3.siftscience.com,Sift Science,Tracking,Anti-fraud,No consent banner,Free
Claude,"anthropic.com, claude.ai",mobile,api3.siftscience.com,Sift Science,Tracking,Anti-fraud,No consent banner,Free
Claude,"anthropic.com, claude.ai",mobile,api3.siftscience.com,Sift Science,Tracking,Anti-fraud,No consent banner,Premium
Claude,"anthropic.com, claude.ai",mobile,browser-intake-us5-datadoghq.com,Datadog,Tracking,,No consent banner,Free
Claude,"anthropic.com, claude.ai",mobile,browser-intake-us5-datadoghq.com,Datadog,Tracking,,No consent banner,Free
Claude,"anthropic.com, claude.ai",mobile,firebaseinstallations.googleapis.com,Google Firebase,Tracking,Analytics and Advertising,No consent banner,Free
Claude,"anthropic.com, claude.ai",mobile,firebaseinstallations.googleapis.com,Google Firebase,Tracking,Analytics and Advertising,No consent banner,Premium
Claude,"anthropic.com, claude.ai",mobile,firebaselogging.googleapis.com,Google Firebase,Tracking,Analytics and Advertising,No consent banner,Free
Claude,"anthropic.com, claude.ai",mobile,firebaselogging.googleapis.com,Google Firebase,Tracking,Analytics and Advertising,No consent banner,Premium
Claude,"anthropic.com, claude.ai",mobile,o1158394.ingest.us.sentry.io,Sentry,Tracking,Analytics and Advertising,No consent banner,Free
Claude,"anthropic.com, claude.ai",mobile,o1158394.ingest.us.sentry.io,Sentry,Tracking,Analytics and Advertising,No consent banner,Free
Claude,"anthropic.com, claude.ai",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Reject All,Free
Claude,"anthropic.com, claude.ai",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Reject All,Premium
Claude,"anthropic.com, claude.ai",browser,b-0.hexagon-cdn.com,Sift,Tracking,Anti-fraud,Reject All,Free
Claude,"anthropic.com, claude.ai",browser,b-0.hexagon-cdn.com,Sift,Tracking,Anti-fraud,Reject All,Premium
Claude,"anthropic.com, claude.ai",browser,d8f2pm4haz8u1.cloudfront.net,First-party,Claude/CDN,,Reject All,Free
Claude,"anthropic.com, claude.ai",browser,d8f2pm4haz8u1.cloudfront.net,First-party,Claude/CDN,,Reject All,Premium
Claude,"anthropic.com, claude.ai",browser,fonts.gstatic.com,Google API,,,Reject All,Free
Claude,"anthropic.com, claude.ai",browser,fonts.gstatic.com,Google API,,,Reject All,Premium
Claude,"anthropic.com, claude.ai",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Reject All,Free
Claude,"anthropic.com, claude.ai",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Reject All,Premium
Claude,"anthropic.com, claude.ai",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Reject All,Free
Claude,"anthropic.com, claude.ai",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Reject All,Premium
Claude,"anthropic.com, claude.ai",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Reject All,Free
Claude,"anthropic.com, claude.ai",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Reject All,Premium
Claude,"anthropic.com, claude.ai",browser,www.googletagmanager.com,Google Tag Manager,Tracking,Analytics and Advertising,Reject All,Free
Claude,"anthropic.com, claude.ai",browser,www.googletagmanager.com,Google Tag Manager,Tracking,Analytics and Advertising,Reject All,Premium
Claude,"anthropic.com, claude.ai",browser,www.gstatic.com,Google Cloud,,,Reject All,Free
Claude,"anthropic.com, claude.ai",browser,www.gstatic.com,Google Cloud,,,Reject All,Premium
Copilot,copilot.microsoft.com,browser,aadcdn.msauth.net,First-party,Tracking,Authentication,Accept All,Free
Copilot,copilot.microsoft.com,browser,aadcdn.msftauth.net,First-party,Tracking,Authentication,Accept All,Free
Copilot,copilot.microsoft.com,browser,accounts.google.com,Google Accounts,Tracking,Authentication,Accept All,Premium
Copilot,copilot.microsoft.com,browser,accounts.google.es,Google Accounts,Tracking,Authentication,Accept All,Premium
Copilot,copilot.microsoft.com,browser,accounts.youtube.com,Google Accounts,Tracking,Authentication,Accept All,Premium
Copilot,copilot.microsoft.com,browser,api.sprig.com,Sprig,Tracking,User engagement,Accept All,No Auth
Copilot,copilot.microsoft.com,browser,api.sprig.com,Sprig,Tracking,User engagement,Accept All,Free
Copilot,copilot.microsoft.com,browser,api.sprig.com,Sprig,Tracking,User engagement,Accept All,Premium
Copilot,copilot.microsoft.com,browser,auth.copilot.microsoft.com,Microsoft,First-party,,Accept All,Premium
Copilot,copilot.microsoft.com,browser,bat.bing.com,First-party,Tracking,Analytics and Advertising,Accept All,Free
Copilot,copilot.microsoft.com,browser,bat.bing.com,First-party,Tracking,Analytics and Advertising,Accept All,Premium
Copilot,copilot.microsoft.com,browser,bat.bing.net,First-party,Tracking,Analytics and Advertising,Accept All,Free
Copilot,copilot.microsoft.com,browser,bat.bing.net,First-party,Tracking,Analytics and Advertising,Accept All,Premium
Copilot,copilot.microsoft.com,browser,browser.events.data.microsoft.com,First-party,Tracking,Analytics and Advertising,Accept All,No Auth
Copilot,copilot.microsoft.com,browser,browser.events.data.microsoft.com,First-party,Tracking,Analytics and Advertising,Accept All,Free
Copilot,copilot.microsoft.com,browser,browser.events.data.microsoft.com,First-party,Tracking,Analytics and Advertising,Accept All,Premium
Copilot,copilot.microsoft.com,browser,c.bing.com,First-party,Tracking,Analytics and Advertising,Accept All,No Auth
Copilot,copilot.microsoft.com,browser,c.bing.com,First-party,Tracking,Analytics and Advertising,Accept All,Free
Copilot,copilot.microsoft.com,browser,c.bing.com,First-party,Tracking,Analytics and Advertising,Accept All,Premium
Copilot,copilot.microsoft.com,browser,cdn.sprig.com,Sprig,Tracking,User engagement,Accept All,No Auth
Copilot,copilot.microsoft.com,browser,cdn.sprig.com,Sprig,Tracking,User engagement,Accept All,Free
Copilot,copilot.microsoft.com,browser,cdn.sprig.com,Sprig,Tracking,User engagement,Accept All,Premium
Copilot,copilot.microsoft.com,browser,challenges.cloudflare.com,First-party,Anti-bot,,Accept All,No Auth
Copilot,copilot.microsoft.com,browser,challenges.cloudflare.com,First-party,Anti-bot,,Accept All,Free
Copilot,copilot.microsoft.com,browser,config.edge.skype.com,First-party,,,Accept All,Free
Copilot,copilot.microsoft.com,browser,content.lifecycle.office.net,First-party,,,Accept All,Free
Copilot,copilot.microsoft.com,browser,copilot.fun,First-party,,,Accept All,No Auth
Copilot,copilot.microsoft.com,browser,copilot.fun,First-party,,,Accept All,Free
